time,symbol,price
09:21:00,STOCK_5047,1164.1750000000002
09:21:00,STOCK_4063,1065.225
09:21:00,STOCK_3311,967.15
09:21:00,STOCK_5769,869.55
09:21:00,STOCK_3365,771.875
09:21:00,STOCK_4127,675.825
09:21:00,STOCK_4699,581.1
09:21:00,STOCK_4441,487.7
09:21:00,STOCK_4989,398.6
09:21:00,STOCK_3415,315.725
09:21:00,STOCK_3979,238.475
09:21:00,STOCK_3824,172.25
09:21:00,STOCK_5628,117.8
09:21:00,STOCK_3561,77.925
09:21:00,STOCK_5226,49.7
09:21:00,STOCK_4548,31.5
09:21:00,STOCK_4487,19.45
09:21:00,STOCK_5904,12.625
09:21:00,STOCK_5498,8.525
09:21:00,STOCK_3245,6.3
09:21:00,STOCK_4771,4.725
09:21:00,STOCK_4583,3.4000000000000004
09:21:00,STOCK_4073,2.85
09:21:00,STOCK_5151,2.325
09:21:00,STOCK_4137,2.025
09:21:00,STOCK_4935,1.925
09:21:00,STOCK_4731,1.725
09:21:00,STOCK_4146,1.6749999999999998
09:21:00,STOCK_3401,1.525
09:21:00,STOCK_3682,1.4249999999999998
09:21:00,STOCK_6061,2.725
09:21:00,STOCK_4239,3.075
09:21:00,STOCK_6078,3.275
09:21:00,STOCK_4518,3.475
09:21:00,STOCK_3213,3.775
09:21:00,STOCK_3660,4.025
09:21:00,STOCK_5375,4.324999999999999
09:21:00,STOCK_3666,4.725
09:21:00,STOCK_4427,5.175000000000001
09:21:00,STOCK_4381,5.824999999999999
09:21:00,STOCK_3683,6.625
09:21:00,STOCK_3887,7.6
09:21:00,STOCK_4917,9.15
09:21:00,STOCK_5265,11.075
09:21:00,STOCK_4310,13.85
09:21:00,STOCK_3130,17.725
09:21:00,STOCK_3584,22.9
09:21:00,STOCK_5150,30.25
09:21:00,STOCK_3228,40.95
09:21:00,STOCK_3896,57.425
09:21:00,STOCK_4890,80.625
09:21:00,STOCK_5050,114.45
09:21:00,STOCK_4154,160.27499999999998
09:21:00,STOCK_4949,220.025
09:21:00,STOCK_4783,291.8
09:21:00,STOCK_3870,373.9500000000001
09:21:00,STOCK_3177,461.7
09:21:00,STOCK_3439,554.7
09:21:00,STOCK_5282,650.4
09:21:00,STOCK_5440,748.4
09:21:00,STOCK_4144,846.45
09:21:00,STOCK_4781,945.175
09:21:00,STOCK_3954,1044.15
09:21:00,STOCK_4060,1144.0
09:21:00,STOCK_4993,1244.4250000000002
09:21:00,STOCK_4450,1343.225
09:21:00,STOCK_3138,1429.15
09:21:00,STOCK_5651,1563.4499999999998
09:21:00,STOCK_5998,1648.025
09:21:00,STOCK_4198,1739.1750000000002
